window_size,threshold,tolerance_type,tolerance_value,precision,recall,F1,num_detected,num_true,annotation_error,hausdorff_distance,rand_index,adjusted_rand_index,mae_localization
10,2.0,half_window,5,0.03350515463917526,0.026013006503251626,0.029287524640946215,1552,1999,447,3181.0,0.998707808041946,0.42515849845251213,305.805406927626
10,2.0,quarter_window,2,0.02190721649484536,0.017008504252126064,0.019149535342157138,1552,1999,447,3181.0,0.998707808041946,0.42515849845251213,305.805406927626
10,2.29,full_window,10,0.07966457023060797,0.018509254627313655,0.03003920479430836,477,1999,1522,7616.0,0.9952695678193403,0.1964272310398518,1136.1042003231018
10,2.29,half_window,5,0.04821802935010482,0.01150575287643822,0.018578352180936997,477,1999,1522,7616.0,0.9952695678193403,0.1964272310398518,1136.1042003231018
10,2.29,quarter_window,2,0.029350104821802937,0.007003501750875438,0.011308562197092085,477,1999,1522,7616.0,0.9952695678193403,0.1964272310398518,1136.1042003231018
10,2.57,full_window,10,0.11578947368421053,0.011005502751375688,0.020100502512562814,190,1999,1809,14257.0,0.9890985947615851,0.10036715290837327,2754.6564641388763
10,2.57,half_window,5,0.08947368421052632,0.008504252126063032,0.015532206486980355,190,1999,1809,14257.0,0.9890985947615851,0.10036715290837327,2754.6564641388763
10,2.57,quarter_window,2,0.05263157894736842,0.0050025012506253125,0.009136592051164915,190,1999,1809,14257.0,0.9890985947615851,0.10036715290837327,2754.6564641388763
10,2.86,full_window,10,0.13157894736842105,0.007503751875937969,0.014197823000473262,114,1999,1885,23704.0,0.9837940354396935,0.0704485482111492,4297.998106956933
10,2.86,half_window,5,0.11403508771929824,0.0065032516258129065,0.012304779933743494,114,1999,1885,23704.0,0.9837940354396935,0.0704485482111492,4297.998106956933
10,2.86,quarter_window,2,0.06140350877192982,0.003501750875437719,0.006625650733554188,114,1999,1885,23704.0,0.9837940354396935,0.0704485482111492,4297.998106956933
10,3.14,full_window,10,0.16049382716049382,0.0065032516258129065,0.012499999999999999,81,1999,1918,46399.0,0.9777614897310091,0.05233324737004879,6254.323076923077
10,3.14,half_window,5,0.13580246913580246,0.005502751375687844,0.010576923076923078,81,1999,1918,46399.0,0.9777614897310091,0.05233324737004879,6254.323076923077
10,3.14,quarter_window,2,0.08641975308641975,0.003501750875437719,0.006730769230769231,81,1999,1918,46399.0,0.9777614897310091,0.05233324737004879,6254.323076923077
10,3.43,full_window,10,0.15625,0.0050025012506253125,0.009694619486185167,64,1999,1935,46399.0,0.9747493833997425,0.04633848995895861,7064.612215220553
10,3.43,half_window,5,0.125,0.00400200100050025,0.007755695588948133,64,1999,1935,46399.0,0.9747493833997425,0.04633848995895861,7064.612215220553
10,3.43,quarter_window,2,0.09375,0.0030015007503751876,0.0058167716917111,64,1999,1935,46399.0,0.9747493833997425,0.04633848995895861,7064.612215220553
10,3.71,full_window,10,0.16,0.00400200100050025,0.007808687164470474,50,1999,1949,47204.0,0.9686078768409079,0.037449332557108306,8696.761835041483
10,3.71,half_window,5,0.14,0.003501750875437719,0.006832601268911664,50,1999,1949,47204.0,0.9686078768409079,0.037449332557108306,8696.761835041483
10,3.71,quarter_window,2,0.1,0.0025012506253126563,0.004880429477794045,50,1999,1949,47204.0,0.9686078768409079,0.037449332557108306,8696.761835041483
10,4.0,full_window,10,0.21621621621621623,0.00400200100050025,0.007858546168958742,37,1999,1962,70911.0,0.9449430432728672,0.02332486770826092,14798.449410609037
10,4.0,half_window,5,0.1891891891891892,0.003501750875437719,0.0068762278978389,37,1999,1962,70911.0,0.9449430432728672,0.02332486770826092,14798.449410609037
10,4.0,quarter_window,2,0.13513513513513514,0.0025012506253126563,0.004911591355599215,37,1999,1962,70911.0,0.9449430432728672,0.02332486770826092,14798.449410609037
10,4.29,full_window,10,0.21739130434782608,0.0025012506253126563,0.004945598417408507,23,1999,1976,119069.0,0.8935213008233843,0.011615127774280212,28125.388229475768
10,4.29,half_window,5,0.21739130434782608,0.0025012506253126563,0.004945598417408507,23,1999,1976,119069.0,0.8935213008233843,0.011615127774280212,28125.388229475768
10,4.29,quarter_window,2,0.17391304347826086,0.002001000500250125,0.003956478733926805,23,1999,1976,119069.0,0.8935213008233843,0.011615127774280212,28125.388229475768
10,4.57,full_window,10,0.25,0.0025012506253126563,0.004952947003467063,20,1999,1979,119069.0,0.8870406082524929,0.010895559256741405,29892.239227340266
10,4.57,half_window,5,0.25,0.0025012506253126563,0.004952947003467063,20,1999,1979,119069.0,0.8870406082524929,0.010895559256741405,29892.239227340266
10,4.57,quarter_window,2,0.2,0.002001000500250125,0.00396235760277365,20,1999,1979,119069.0,0.8870406082524929,0.010895559256741405,29892.239227340266
10,4.86,full_window,10,0.29411764705882354,0.0025012506253126563,0.00496031746031746,17,1999,1982,119069.0,0.8860491892398942,0.010800057820904187,30200.28621031746
10,4.86,half_window,5,0.29411764705882354,0.0025012506253126563,0.00496031746031746,17,1999,1982,119069.0,0.8860491892398942,0.010800057820904187,30200.28621031746
10,4.86,quarter_window,2,0.23529411764705882,0.002001000500250125,0.003968253968253968,17,1999,1982,119069.0,0.8860491892398942,0.010800057820904187,30200.28621031746
10,5.14,full_window,10,0.3333333333333333,0.0025012506253126563,0.004965243296921549,15,1999,1984,119069.0,0.8818193170002127,0.010374927015843057,31485.995531281034
10,5.14,half_window,5,0.3333333333333333,0.0025012506253126563,0.004965243296921549,15,1999,1984,119069.0,0.8818193170002127,0.010374927015843057,31485.995531281034
10,5.14,quarter_window,2,0.26666666666666666,0.002001000500250125,0.003972194637537238,15,1999,1984,119069.0,0.8818193170002127,0.010374927015843057,31485.995531281034
10,5.43,full_window,10,0.35714285714285715,0.0025012506253126563,0.004967709885742673,14,1999,1985,119069.0,0.8800175506274213,0.010208031211595674,31995.32488822653
10,5.43,half_window,5,0.35714285714285715,0.0025012506253126563,0.004967709885742673,14,1999,1985,119069.0,0.8800175506274213,0.010208031211595674,31995.32488822653
10,5.43,quarter_window,2,0.2857142857142857,0.002001000500250125,0.003974167908594138,14,1999,1985,119069.0,0.8800175506274213,0.010208031211595674,31995.32488822653
10,5.71,full_window,10,0.45454545454545453,0.0025012506253126563,0.004975124378109453,11,1999,1988,290084.0,0.856008142108485,0.009135256290567391,57813.65472636816
10,5.71,half_window,5,0.45454545454545453,0.0025012506253126563,0.004975124378109453,11,1999,1988,290084.0,0.856008142108485,0.009135256290567391,57813.65472636816
10,5.71,quarter_window,2,0.36363636363636365,0.002001000500250125,0.003980099502487562,11,1999,1988,290084.0,0.856008142108485,0.009135256290567391,57813.65472636816
10,6.0,full_window,10,0.625,0.0025012506253126563,0.004982561036372695,8,1999,1991,290084.0,0.8458706848439164,0.008465974846382437,61947.082710513205
10,6.0,half_window,5,0.625,0.0025012506253126563,0.004982561036372695,8,1999,1991,290084.0,0.8458706848439164,0.008465974846382437,61947.082710513205
10,6.0,quarter_window,2,0.5,0.002001000500250125,0.003986048829098156,8,1999,1991,290084.0,0.8458706848439164,0.008465974846382437,61947.082710513205
10,6.57,full_window,10,0.7142857142857143,0.0025012506253126563,0.004985044865403789,7,1999,1992,290084.0,0.8373326150304045,0.007961796972237919,64234.452143569295
10,6.57,half_window,5,0.7142857142857143,0.0025012506253126563,0.004985044865403789,7,1999,1992,290084.0,0.8373326150304045,0.007961796972237919,64234.452143569295
10,6.57,quarter_window,2,0.5714285714285714,0.002001000500250125,0.0039880358923230315,7,1999,1992,290084.0,0.8373326150304045,0.007961796972237919,64234.452143569295
10,7.14,full_window,10,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,7.14,half_window,5,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,7.14,quarter_window,2,0.8,0.002001000500250125,0.003992015968063872,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,7.71,full_window,10,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,7.71,half_window,5,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,7.71,quarter_window,2,0.8,0.002001000500250125,0.003992015968063872,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,8.29,full_window,10,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,8.29,half_window,5,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,8.29,quarter_window,2,0.8,0.002001000500250125,0.003992015968063872,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,8.86,full_window,10,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,8.86,half_window,5,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,8.86,quarter_window,2,0.8,0.002001000500250125,0.003992015968063872,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,9.43,full_window,10,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,9.43,half_window,5,1.0,0.0025012506253126563,0.00499001996007984,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
10,9.43,quarter_window,2,0.8,0.002001000500250125,0.003992015968063872,5,1999,1994,290084.0,0.786618725072372,0.005782634371802733,77464.82035928144
30,0.5,full_window,30,0.1288463205339343,0.9544772386193097,0.2270436734997499,23074,1999,21075,650.0,0.9994196215879039,0.1682507616814892,153.37071750488573
30,0.5,half_window,15,0.07566958481407644,0.7848924462231116,0.13803185217880268,23074,1999,21075,650.0,0.9994196215879039,0.1682507616814892,153.37071750488573
30,0.5,quarter_window,7,0.039785039438328854,0.4592296148074037,0.07322617955569737,23074,1999,21075,650.0,0.9994196215879039,0.1682507616814892,153.37071750488573
30,0.71,full_window,30,0.13716887876936748,0.887943971985993,0.2376290160787459,18007,1999,16008,560.0,0.9994399813645568,0.22538445246462946,149.06353094071778
30,0.71,half_window,15,0.08146831787638141,0.6858429214607303,0.14563704081045237,18007,1999,16008,560.0,0.9994399813645568,0.22538445246462946,149.06353094071778
30,0.71,quarter_window,7,0.043594157827511526,0.39269634817408705,0.07847645706288113,18007,1999,16008,560.0,0.9994399813645568,0.22538445246462946,149.06353094071778
30,0.93,full_window,30,0.1503793626707132,0.7828914457228614,0.2522970087338429,13180,1999,11181,560.0,0.9994711699461926,0.3118368384373115,143.82423084524672
30,0.93,half_window,15,0.09317147192716237,0.5882941470735368,0.1608657284555385,13180,1999,11181,560.0,0.9994711699461926,0.3118368384373115,143.82423084524672
30,0.93,quarter_window,7,0.051213960546282244,0.33766883441720863,0.08893866526121615,13180,1999,11181,560.0,0.9994711699461926,0.3118368384373115,143.82423084524672
30,1.14,full_window,30,0.18456332161915917,0.6273136568284142,0.2852133889119504,7683,1999,5684,758.0,0.999536711315318,0.48900915204341716,132.67093575707497
30,1.14,half_window,15,0.12143693869582195,0.45972986493246626,0.1921244884460052,7683,1999,5684,758.0,0.999536711315318,0.48900915204341716,132.67093575707497
30,1.14,quarter_window,7,0.06833268254588051,0.26263131565782893,0.10844866763065482,7683,1999,5684,758.0,0.999536711315318,0.48900915204341716,132.67093575707497
30,1.36,full_window,30,0.21820475089342023,0.4842421210605303,0.30084533255645657,4757,1999,2758,758.0,0.9995522289835423,0.5775125289029066,129.14994079336887
30,1.36,half_window,15,0.15219676266554552,0.3616808404202101,0.21424032765609208,4757,1999,2758,758.0,0.9995522289835423,0.5775125289029066,129.14994079336887
30,1.36,quarter_window,7,0.08660920748370822,0.2061030515257629,0.12196566015393723,4757,1999,2758,758.0,0.9995522289835423,0.5775125289029066,129.14994079336887
30,1.57,full_window,30,0.25352697095435683,0.2926463231615808,0.27168569635825557,2410,1999,411,1483.0,0.9993628604308984,0.5710947925377604,167.00181447040146
