dataset,Bin_Center,mean_density,sd_density,n_datasets,se_density
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,600000.0,0.007858333333333333,0.009763797541133391,12,0.0028185655693431844
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,610000.0,0.009525,0.012547663672427774,12,0.0036221984994885313
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,620000.0,0.014179999999999998,0.02442679767068218,10,0.007724431658345127
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,630000.0,0.01628,0.019706840323998047,10,0.006231850090908441
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,640000.0,0.0121,0.016451545013564328,10,0.005202435327164898
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,650000.0,0.0325875,0.04946448762207373,8,0.01748833731274319
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,660000.0,0.0100625,0.014719174811885926,8,0.005204014161477382
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,670000.0,0.008012499999999999,0.01161556068384131,8,0.004106720863414021
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,680000.0,0.014616666666666667,0.016374176824093072,6,0.006684729696189002
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,690000.0,0.009983333333333334,0.010992436793844514,6,0.00448764352911909
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,700000.0,0.011999999999999999,0.013240996941318278,6,0.005405614365330426
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,710000.0,0.011066666666666667,0.01342500155183107,6,0.005480733933009742
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,720000.0,0.014400000000000001,0.015967341669795885,6,0.006518639939946574
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,730000.0,0.011333333333333334,0.01257897717092557,6,0.005135345925814324
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,740000.0,0.009083333333333334,0.010262439605993628,6,0.004189623425135539
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,750000.0,0.015366666666666667,0.018228183306809996,6,0.007441624673267107
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,760000.0,0.04303333333333333,0.06007387674078198,6,0.024525057480961066
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,770000.0,0.0073,0.011338959387880354,6,0.004629110785741325
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,780000.0,0.007883333333333332,0.012230848975711648,6,0.00499322318525597
dnrp1-1_merged-DpnII-NlaIII-b_trimmed.sorted.bam,790000.0,0.024175,0.032278824328032765,4,0.016139412164016383
