dataset,Bin_Center,mean_density,sd_density,n_datasets,se_density
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,500000.0,0.00743125,0.008720605388006807,16,0.0021801513470017016
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,510000.0,0.00641875,0.0068546061155984744,16,0.0017136515288996186
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,520000.0,0.005575,0.005979799327736676,16,0.001494949831934169
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,530000.0,0.00633125,0.006904174461874497,16,0.0017260436154686242
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,540000.0,0.006168750000000001,0.007013008745657363,16,0.0017532521864143408
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,550000.0,0.006725,0.008144241319279941,16,0.0020360603298199853
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,560000.0,0.0052625,0.0059816246399563835,16,0.0014954061599890959
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,570000.0,0.00460625,0.005755631300445388,16,0.001438907825111347
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,580000.0,0.005264285714285714,0.006441047113015702,14,0.0017214422506410124
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,590000.0,0.006357142857142857,0.008649652219394923,14,0.002311716794266045
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,600000.0,0.004158333333333333,0.00525451465336469,12,0.0015168477247904683
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,610000.0,0.004108333333333333,0.0052955312778937965,12,0.0015286882043970332
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,620000.0,0.00654,0.007840096371289774,10,0.0024792561608496834
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,630000.0,0.006520000000000001,0.007103019702132952,10,0.0022461720523790888
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,640000.0,0.00492,0.006431830567143731,10,0.0020339234116466738
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,650000.0,0.006425,0.007628283836205512,8,0.002697005614698324
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,660000.0,0.0046,0.006421170342813573,8,0.0022702265462787126
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,670000.0,0.00445,0.006154673021371648,8,0.0021760055146988946
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,680000.0,0.005866666666666667,0.006442877204065484,6,0.0026302936042283272
