Running simulated data training
Device: cuda
Starting simulated data run...

============================================================
PREPROCESSING SIMULATED DATA
============================================================
Loading simulated data from Data/simulated/simulated_data...
Found 204 simulated data files
Loaded 204 simulated chromosomes

=== Processing Training Data ===
Column order in final array (Dataset/Chrom split): ['Value', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 73772

=== Processing Validation Data ===

=== Processing Test Data ===
Column order in final array (Dataset/Chrom split): ['Value', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 32293

Final dataset shapes:
  Train: (73772, 2000, 3)
  Test: (32293, 2000, 3)

============================================================
CREATING DATALOADERS
============================================================
Randomly sampled 737/73772 samples (1.0%)
Applied denoising with 50.0% masking
Applied denoising with 50.0% masking
Feature dimension: 1
Actual sequence length from data: 2000

============================================================
INITIALIZING MODEL
============================================================
Model created with seq_length=2000, feature_dim=1

============================================================
TRAINING MODEL
============================================================
Epoch [88/100], Total Loss: 21.2356, NLL: 1.0503, Masked: 20.1853
Epoch [89/100], Total Loss: 21.2416, NLL: 1.0530, Masked: 20.1886
Epoch [90/100], Total Loss: 21.2434, NLL: 1.0516, Masked: 20.1919
Epoch [91/100], Total Loss: 21.2427, NLL: 1.0493, Masked: 20.1934
Epoch [92/100], Total Loss: 21.2507, NLL: 1.0515, Masked: 20.1992
Epoch [93/100], Total Loss: 21.2419, NLL: 1.0510, Masked: 20.1910
Epoch [94/100], Total Loss: 21.2228, NLL: 1.0486, Masked: 20.1742
Epoch [95/100], Total Loss: 21.2396, NLL: 1.0485, Masked: 20.1911
Epoch [96/100], Total Loss: 21.2298, NLL: 1.0500, Masked: 20.1798
Epoch [97/100], Total Loss: 21.2481, NLL: 1.0507, Masked: 20.1974
Epoch [98/100], Total Loss: 21.2491, NLL: 1.0487, Masked: 20.2004
Epoch [99/100], Total Loss: 21.2212, NLL: 1.0483, Masked: 20.1729
Epoch [100/100], Total Loss: 21.2322, NLL: 1.0473, Masked: 20.1849
Training loss plot saved to /workspace/AE/results/training/Simulated_data_new/Simulated_data_new_ZINBAE_20260209_143205_conv_training_losses.png
Training losses saved to /workspace/AE/results/training/Simulated_data_new/Simulated_data_new_ZINBAE_20260209_143205_conv_training_losses.json

==================================================
EVALUATING ON TRAINING DATA
==================================================

==================================================
TEST RESULTS
==================================================
Total Loss: 21.337700
  - ZINB NLL: 1.142169
Total number of masked values: 113796
  - Number of values with pi >= 0.5: 113796
  - Number of values with pi < 0.5: 0
  - Masked Reconstruction: 20.195531
Mean Absolute Error (MAE): 3.122980
R² Score: -0.122354
==================================================

Using raw counts for evaluation metrics.
1474000 1246044 227956
Zero imputation: 1,246,044 actual zeros, 0 imputed (0.0%), 227,956 false structural zeros
Number of masked values: 113796
Masked values analysis: 113796 masked positions, MAE=24.9239, R²=-3.3923
ZINB metrics saved to /workspace/AE/results/training/Simulated_data_new/Simulated_data_new_ZINBAE_20260209_143207_conv_test_metrics.json
ZINB-specific plots saved to /workspace/AE/results/training/Simulated_data_new/

============================================================
EVALUATING MODEL
============================================================
Evaluating on Test set...

==================================================
TEST RESULTS
==================================================
Total Loss: 21.578154
  - ZINB NLL: 1.144612
Total number of masked values: 4982611
  - Number of values with pi >= 0.5: 4982610
  - Number of values with pi < 0.5: 1
  - Masked Reconstruction: 20.433542
Mean Absolute Error (MAE): 3.158570
R² Score: -0.122831
==================================================

Using raw counts for evaluation metrics.
64586000 54604496 9981504
Zero imputation: 54,604,496 actual zeros, 6 imputed (0.0%), 9,981,503 false structural zeros
Number of masked values: 4982611
Masked values analysis: 4982611 masked positions, MAE=24.8360, R²=-3.3450
ZINB metrics saved to /workspace/AE/results/testing/Simulated_data_new/Simulated_data_new_ZINBAE_20260209_143228_conv_test_metrics.json
ZINB-specific plots saved to /workspace/AE/results/testing/Simulated_data_new/

Test Metrics:
  total_loss: 21.578154236955914
  zinb_nll: 1.1446122216834298
  mae: 3.1585702896118164
  r2: -0.12283146381378174
  masked_loss: 20.433541994245758

============================================================
TRAINING COMPLETE
============================================================
Simulated data training complete
