dataset,distance,mean_density,sd_density,n_datasets,se_density
strain_yWT04a,155.0,0.10105672003870944,0.031231681457181342,16,0.0078079203642953355
strain_yWT04a,156.0,0.11852641558071396,0.051923709185227325,16,0.012980927296306831
strain_yWT04a,157.0,0.11163534628580649,0.04599110094646868,16,0.01149777523661717
strain_yWT04a,158.0,0.10244870195879942,0.04794772313142007,16,0.011986930782855017
strain_yWT04a,159.0,0.0990726935170044,0.048366075412687164,16,0.012091518853171791
strain_yWT04a,160.0,0.11329146658304844,0.041247868894043055,16,0.010311967223510764
strain_yWT04a,161.0,0.11134995389802807,0.045427775514900605,16,0.011356943878725151
strain_yWT04a,162.0,0.10910096771278019,0.04652993926097736,16,0.01163248481524434
strain_yWT04a,163.0,0.11017892320429891,0.050267266232862866,16,0.012566816558215716
strain_yWT04a,164.0,0.10980751570868359,0.05036541440699489,16,0.012591353601748723
strain_yWT04a,165.0,0.1105646277213129,0.05346345107363321,16,0.013365862768408303
strain_yWT04a,166.0,0.09985798993208195,0.049289496822686525,16,0.012322374205671631
strain_yWT04a,167.0,0.108688783153931,0.04779997401181863,16,0.011949993502954658
strain_yWT04a,168.0,0.11231535396702487,0.048051142343350235,16,0.012012785585837559
strain_yWT04a,169.0,0.11226056850755203,0.053389910734342884,16,0.013347477683585721
strain_yWT04a,170.0,0.11232415343182198,0.06043660017062766,16,0.015109150042656914
strain_yWT04a,171.0,0.10527704634343873,0.049397450482399255,16,0.012349362620599814
strain_yWT04a,172.0,0.10864206811704151,0.03939784076033635,16,0.009849460190084088
strain_yWT04a,173.0,0.11485914515332292,0.058302887659814735,16,0.014575721914953684
strain_yWT04a,174.0,0.11122234749398718,0.05009355280988485,16,0.012523388202471213
strain_yWT04a,175.0,0.11561971301391329,0.05831494905449068,16,0.01457873726362267
strain_yWT04a,176.0,0.11583233690502279,0.05223919025074201,16,0.013059797562685502
strain_yWT04a,177.0,0.11823957319685963,0.05333423454088505,16,0.013333558635221263
strain_yWT04a,178.0,0.11818939806058973,0.044712804306396195,16,0.011178201076599049
strain_yWT04a,179.0,0.11081543324830034,0.03711172872025252,16,0.00927793218006313
strain_yWT04a,180.0,0.12027377719209736,0.05786989124034381,16,0.014467472810085952
strain_yWT04a,181.0,0.11283838996450968,0.05296293630926661,16,0.013240734077316652
strain_yWT04a,182.0,0.12196872366858678,0.051591624834252094,16,0.012897906208563023
strain_yWT04a,183.0,0.11311367812461659,0.049856960876966984,16,0.012464240219241746
strain_yWT04a,184.0,0.11733707223050585,0.053755617794164504,16,0.013438904448541126
strain_yWT04a,185.0,0.11866283477072645,0.06009633732401059,16,0.015024084331002647
strain_yWT04a,186.0,0.11346385440226195,0.04262264207651328,16,0.01065566051912832
strain_yWT04a,187.0,0.1189854598494032,0.04300065261303899,16,0.010750163153259747
strain_yWT04a,188.0,0.12254918828344769,0.0615156067663601,16,0.015378901691590025
strain_yWT04a,189.0,0.10737617400479667,0.049697404084092435,16,0.012424351021023109
strain_yWT04a,190.0,0.13669637341731694,0.05956382751519461,16,0.014890956878798652
strain_yWT04a,191.0,0.13509583092013458,0.05380758051507951,16,0.013451895128769877
strain_yWT04a,192.0,0.11857614435774048,0.049721999947613865,16,0.012430499986903466
strain_yWT04a,193.0,0.10250378752539838,0.04780901093710522,16,0.011952252734276305
strain_yWT04a,194.0,0.11089834810907481,0.053142351282546296,16,0.013285587820636574
strain_yWT04a,195.0,0.11030394830504403,0.05082658554320025,16,0.012706646385800062
strain_yWT04a,196.0,0.12365986688234941,0.0579702783747689,16,0.014492569593692224
strain_yWT04a,197.0,0.12207698161541053,0.052516797370212455,16,0.013129199342553114
strain_yWT04a,198.0,0.1348847699562726,0.05417150870534076,16,0.01354287717633519
strain_yWT04a,199.0,0.11196656533507424,0.04863765903105868,16,0.01215941475776467
strain_yWT04a,200.0,0.1167070862369002,0.06649178702184719,16,0.016622946755461797
strain_yWT04a,201.0,0.12177410666288777,0.04561781261802337,16,0.011404453154505842
strain_yWT04a,202.0,0.10965048447492498,0.040607415193599006,16,0.010151853798399751
strain_yWT04a,203.0,0.1360666000080982,0.06889310717931933,16,0.017223276794829833
strain_yWT04a,204.0,0.1174701698246828,0.060209372311367276,16,0.015052343077841819
strain_yWT04a,205.0,0.13670283845450795,0.05071178582181046,16,0.012677946455452616
strain_yWT04a,206.0,0.11271573217141141,0.04989654641881798,16,0.012474136604704495
strain_yWT04a,207.0,0.1263131521065252,0.04833240975868652,16,0.01208310243967163
strain_yWT04a,208.0,0.1180209837148532,0.0524279416757015,16,0.013106985418925375
strain_yWT04a,209.0,0.11996599158563737,0.06255139199097512,16,0.01563784799774378
strain_yWT04a,210.0,0.12418479744360511,0.051772953142268235,16,0.012943238285567059
strain_yWT04a,211.0,0.12241519699575495,0.05787026354362635,16,0.014467565885906588
strain_yWT04a,212.0,0.12069493207189964,0.047594434105650923,16,0.011898608526412731
strain_yWT04a,213.0,0.12280053078962314,0.05037764641622783,16,0.012594411604056957
strain_yWT04a,214.0,0.12178159236731889,0.050423424756950594,16,0.012605856189237648
strain_yWT04a,215.0,0.11256371484738276,0.04673913432147977,16,0.011684783580369942
strain_yWT04a,216.0,0.12436427436310647,0.057199881161626054,16,0.014299970290406513
strain_yWT04a,217.0,0.12710078715365591,0.06388851541376891,16,0.01597212885344223
strain_yWT04a,218.0,0.12463203289500879,0.060171671806935334,16,0.015042917951733834
strain_yWT04a,219.0,0.1235396579008122,0.05837137701161995,16,0.014592844252904988
strain_yWT04a,220.0,0.1373305913010483,0.06299439683536234,16,0.015748599208840586
strain_yWT04a,221.0,0.12053148861952916,0.042691539019264826,16,0.010672884754816207
strain_yWT04a,222.0,0.12409360726287448,0.0642495460072684,16,0.0160623865018171
strain_yWT04a,223.0,0.12196367411346717,0.05458281006248095,16,0.013645702515620238
strain_yWT04a,224.0,0.13940861870743038,0.059797877541646546,16,0.014949469385411637
strain_yWT04a,225.0,0.13818883891485478,0.06271954062332591,16,0.015679885155831477
strain_yWT04a,226.0,0.12321802135809651,0.05419520148022778,16,0.013548800370056945
strain_yWT04a,227.0,0.14856725580113483,0.0521740204004085,16,0.013043505100102125
strain_yWT04a,228.0,0.132732241862963,0.0547133855430181,16,0.013678346385754525
strain_yWT04a,229.0,0.11391835787161482,0.057518029590959016,16,0.014379507397739754
strain_yWT04a,230.0,0.12838299553695443,0.058911935901348696,16,0.014727983975337174
