,,mean_norm
bem1-aid-dbem3_a,SWD3,0.9858773001897504
bem1-aid-dbem3_a,ECM31,1.1873164827339928
bem1-aid-dbem3_a,EHT1,1.1899531462934982
bem1-aid-dbem3_a,YBR178W,1.3155655297272628
bem1-aid-dbem3_a,FZO1,0.8905124741397015
bem1-aid-dbem3_a,DTR1,0.9471723051743091
bem1-aid-dbem3_a,RPS6B,-0.4668813696372874
bem1-aid-dbem3_a,SMP1,0.6496909905041193
bem1-aid-dbem3_a,YBR182C-A,
bem1-aid-dbem3_a,YPC1,1.2275669085329262
bem1-aid-dbem3_a,YBR184W,0.7446931418597239
bem1-aid-dbem3_a,MBA1,0.41319659454914137
bem1-aid-dbem3_a,PCH2,0.781989297049558
bem1-aid-dbem3_a,GDT1,1.2562504863480597
bem1-aid-dbem3_a,NTC20,0.8200634916021504
bem1-aid-dbem3_a,RPS9B,-0.7849092712062368
bem1-aid-dbem3_a,YBR190W,1.6013201730030102
bem1-aid-dbem3_a,RPL21A,1.286944861239438
bem1-aid-dbem3_a,YBR191W-A,
bem1-aid-dbem3_a,RIM2,-0.5926649962573016
bem1-aid-dbem3_a,MED8,1.164681813731171
bem1-aid-dbem3_a,AIM4,0.35318212196486304
bem1-aid-dbem3_a,MSI1,1.1003308545815598
bem1-aid-dbem3_a,PGI1,0.9486088273998138
bem1-aid-dbem3_a,YBR196C-A,
bem1-aid-dbem3_a,YBR196C-B,0.9269232527455332
bem1-aid-dbem3_a,YBR197C,0.8400477822188432
bem1-aid-dbem3_a,TAF5,0.9627126705175664
bem1-aid-dbem3_a,KTR4,0.7189459719611069
bem1-aid-dbem3_a,BEM1,0.7219158303900851
bem1-aid-dbem3_a,YBR200W-A,
bem1-aid-dbem3_a,DER1,1.199968880978545
bem1-aid-dbem3_a,YBR201C-A,0.6802285615487793
bem1-aid-dbem3_a,MCM7,1.2320004214902287
bem1-aid-dbem3_a,COS111,0.9537470298912676
bem1-aid-dbem3_a,LDH1,1.0614162178861857
bem1-aid-dbem3_a,KTR3,1.141246413133148
bem1-aid-dbem3_a,YBR206W,0.6235553081231725
bem1-aid-dbem3_a,FTH1,0.8545378798813509
bem1-aid-dbem3_a,"DUR1,2",0.8504924778630455
bem1-aid-dbem3_a,YBR209W,1.894671075072457
bem1-aid-dbem3_a,ERV15,-0.09289904960214625
bem1-aid-dbem3_a,AME1,0.20659829727457069
bem1-aid-dbem3_a,NGR1,1.278005437283459
bem1-aid-dbem3_a,MET8,1.1672155538895073
bem1-aid-dbem3_a,SDS24,1.3956856250149816
bem1-aid-dbem3_a,HPC2,0.42122091937864486
bem1-aid-dbem3_a,YBP1,0.6699534653238943
bem1-aid-dbem3_a,ATG12,0.7063642439297261
bem1-aid-dbem3_a,PYC2,1.2517906408435242
bem1-aid-dbem3_a,YBR219C,0.7425165725701438
bem1-aid-dbem3_a,YBR220C,1.358241928033261
bem1-aid-dbem3_a,PDB1,1.0118916504839495
bem1-aid-dbem3_a,YBR221W-A,
bem1-aid-dbem3_a,PCS60,1.124460242533849
bem1-aid-dbem3_a,TDP1,1.2605759290966294
