strain,Bin_Center,mean_density,sd_density,n_datasets,se_density
strain_yTW001,190000.0,0.04392857142857143,0.022135807377504178,28,0.004183274385036065
strain_yTW001,200000.0,0.04639285714285714,0.035453787642522175,28,0.006700136081243473
strain_yTW001,210000.0,0.034828571428571424,0.022413436068620007,28,0.004235741276000983
strain_yTW001,220000.0,0.036060714285714286,0.020678927174796306,28,0.003907949906009037
strain_yTW001,230000.0,0.03631153846153846,0.019266890292376233,26,0.0037785480602722235
strain_yTW001,240000.0,0.05214230769230769,0.0573341097293883,26,0.011244144011716188
strain_yTW001,250000.0,0.04073076923076923,0.03564401514117925,26,0.006990366490294987
strain_yTW001,260000.0,0.030973076923076923,0.018439166091606368,26,0.0036162179890568955
strain_yTW001,270000.0,0.047926923076923075,0.0381790891215839,26,0.00748753540162132
strain_yTW001,280000.0,0.03484230769230769,0.02295615251869395,26,0.004502071909608946
strain_yTW001,290000.0,0.04792307692307692,0.04452619281000617,26,0.00873230484631601
strain_yTW001,300000.0,0.06729615384615385,0.0832215956625165,26,0.016321097701365396
strain_yTW001,310000.0,0.07596153846153847,0.15497386896357226,26,0.030392876228547163
strain_yTW001,320000.0,0.056,0.07162761478647743,26,0.014047330981090596
strain_yTW001,330000.0,0.04058846153846153,0.050773168716739175,26,0.009957437617445839
strain_yTW001,340000.0,0.04013846153846154,0.036431942873506776,26,0.007144891831927255
strain_yTW001,350000.0,0.03436538461538462,0.026378065771510882,26,0.005173164311529535
strain_yTW001,360000.0,0.029896153846153847,0.0215518626715972,26,0.00422666801218254
strain_yTW001,370000.0,0.026896153846153847,0.020957203644937573,26,0.00411004578214902
strain_yTW001,380000.0,0.035575,0.02700462520770647,24,0.005512296037831754
strain_yTW001,390000.0,0.03967083333333333,0.03169547326294907,24,0.006469811387521018
strain_yTW001,400000.0,0.026816666666666666,0.02072603208038387,24,0.004230683582457949
strain_yTW001,410000.0,0.0297,0.023226315659837977,24,0.004741051830951452
strain_yTW001,420000.0,0.04204583333333334,0.04306272451614765,24,0.00879014183321678
strain_yTW001,430000.0,0.03499583333333333,0.04549982779868672,24,0.009287613457607003
strain_yTW001,440000.0,0.038075000000000005,0.04531532277564477,24,0.009249951527487567
strain_yTW001,450000.0,0.035295454545454547,0.03441772075783785,22,0.007337882720898392
strain_yTW001,460000.0,0.027139999999999997,0.019010839013573283,20,0.004250952834365491
strain_yTW001,470000.0,0.02401111111111111,0.01962914666236947,18,0.004626634237955579
strain_yTW001,480000.0,0.03124375,0.019850406167129176,16,0.004962601541782294
strain_yTW001,490000.0,0.032862499999999996,0.02180305406741603,16,0.0054507635168540075
strain_yTW001,500000.0,0.04641875,0.03948888820499593,16,0.009872222051248982
strain_yTW001,510000.0,0.040625,0.025204404377013157,16,0.006301101094253289
strain_yTW001,520000.0,0.03038125,0.019218817818308528,16,0.004804704454577132
strain_yTW001,530000.0,0.03670625,0.026865627823174604,16,0.006716406955793651
strain_yTW001,540000.0,0.04265625,0.04928554850731263,16,0.012321387126828157
strain_yTW001,550000.0,0.03228125,0.021491803670236707,16,0.005372950917559177
strain_yTW001,560000.0,0.0330875,0.021159391138058137,16,0.005289847784514534
strain_yTW001,570000.0,0.03681875,0.023234692989866107,16,0.005808673247466527
strain_yTW001,580000.0,0.03252857142857143,0.022494116446868384,14,0.006011805497312735
strain_yTW001,590000.0,0.04276428571428571,0.04964717990508094,14,0.013268766958881491
strain_yTW001,600000.0,0.022808333333333333,0.01731249986325347,12,0.004997688228197376
strain_yTW001,610000.0,0.023816666666666667,0.018088812882971386,12,0.00522179049365215
strain_yTW001,620000.0,0.02314,0.013315170963144926,10,0.004210626767807589
strain_yTW001,630000.0,0.034699999999999995,0.019582872334999505,10,0.006192647970689832
strain_yTW001,640000.0,0.03861,0.02141414122593863,10,0.006771746041047644
strain_yTW001,650000.0,0.0804,0.05094327377443604,8,0.018011167170873265
strain_yTW001,660000.0,0.0356,0.024281091997095775,8,0.008584662402880416
strain_yTW001,670000.0,0.0278375,0.018235987771437003,8,0.00644739530740903
strain_yTW001,680000.0,0.04755,0.005635512399063637,6,0.0023006883028056334
strain_yTW001,690000.0,0.03601666666666666,0.0025119049875874434,6,0.0010254809169902247
strain_yTW001,700000.0,0.040883333333333334,0.0014400231479620993,6,0.0005878869883839175
strain_yTW001,710000.0,0.0384,0.011246154898453072,6,0.004591223511585266
strain_yTW001,720000.0,0.04973333333333333,0.007329301922193316,6,0.0029921749800289267
strain_yTW001,730000.0,0.03725,0.0055716245386781054,6,0.0022746061930218457
strain_yTW001,740000.0,0.0325,0.009422101676377729,6,0.003846556901957906
strain_yTW001,750000.0,0.0504,0.012715345060201864,6,0.0051910178834855365
strain_yTW001,760000.0,0.1067,0.061451086239382294,6,0.025087300904375238
strain_yTW001,770000.0,0.024283333333333334,0.018976661104279296,6,0.0077471894545341055
strain_yTW001,780000.0,0.027749999999999997,0.021563278971436603,6,0.00880317177688436
strain_yTW001,790000.0,0.064775,0.0183338257509628,4,0.0091669128754814
strain_yTW001,800000.0,0.051324999999999996,0.009263323737550507,4,0.004631661868775254
strain_yTW001,810000.0,0.0366,0.0045570458267025,4,0.00227852291335125
