strain,Bin_Center,mean_density,sd_density,n_datasets,se_density
strain_yWT04a,450000.0,0.01849090909090909,0.017752690180871427,22,0.003784886263800999
strain_yWT04a,460000.0,0.014755,0.010967678591398024,20,0.002452447488573512
strain_yWT04a,470000.0,0.012261111111111112,0.010163610919752123,18,0.002395586067566123
strain_yWT04a,480000.0,0.0162125,0.010702702151014636,16,0.002675675537753659
strain_yWT04a,490000.0,0.01703125,0.011961366630392477,16,0.0029903416575981193
strain_yWT04a,500000.0,0.02411875,0.021014097450679784,16,0.005253524362669946
strain_yWT04a,510000.0,0.02060625,0.012891365004012051,16,0.003222841251003013
strain_yWT04a,520000.0,0.01528125,0.010228145400478686,16,0.0025570363501196715
strain_yWT04a,530000.0,0.019299999999999998,0.014374097073091814,16,0.0035935242682729536
strain_yWT04a,540000.0,0.021225,0.022370769618708545,16,0.005592692404677136
strain_yWT04a,550000.0,0.01714375,0.010764569584211592,16,0.002691142396052898
strain_yWT04a,560000.0,0.0179,0.011698204990510297,16,0.0029245512476275743
strain_yWT04a,570000.0,0.01794375,0.011859565408001538,16,0.0029648913520003845
strain_yWT04a,580000.0,0.016842857142857142,0.01225634619199466,14,0.003275646304581106
strain_yWT04a,590000.0,0.02412142857142857,0.027400819150344573,14,0.007323176955538832
strain_yWT04a,600000.0,0.011866666666666666,0.008971605038659302,12,0.0025898792920664754
strain_yWT04a,610000.0,0.012291666666666666,0.009506022811721509,12,0.002744152414635068
strain_yWT04a,620000.0,0.01284,0.007923972067929906,10,0.0025057799850212977
strain_yWT04a,630000.0,0.02017,0.011680853279334234,10,0.0036938101376943204
strain_yWT04a,640000.0,0.01984,0.011571055843497314,10,0.003659089139845234
strain_yWT04a,650000.0,0.0371,0.02491757841937523,8,0.0088096943355439
strain_yWT04a,660000.0,0.0167,0.011528597981913129,8,0.004075974905292159
strain_yWT04a,670000.0,0.0143,0.009249401525040881,8,0.0032701572701368006
strain_yWT04a,680000.0,0.025083333333333332,0.0032239210081307294,6,0.0013161602401599041
strain_yWT04a,690000.0,0.019733333333333332,0.0033992155957906925,6,0.0013877239558996517
strain_yWT04a,700000.0,0.01955,0.003920076529865203,6,0.0016003645418049815
strain_yWT04a,710000.0,0.017449999999999997,0.005305374633331751,6,0.002165910124328031
strain_yWT04a,720000.0,0.025166666666666667,0.005296665617788862,6,0.0021623546836210235
strain_yWT04a,730000.0,0.022500000000000003,0.005139260647213761,6,0.0020980943734732246
strain_yWT04a,740000.0,0.01721666666666667,0.0029198744265236235,6,0.0011920337429974217
strain_yWT04a,750000.0,0.027516666666666672,0.007660918134705963,6,0.0031275567318773158
strain_yWT04a,760000.0,0.05346666666666667,0.030985523501575164,6,0.012649786998645912
strain_yWT04a,770000.0,0.012700000000000001,0.010289023277260091,6,0.004200476163484326
strain_yWT04a,780000.0,0.014400000000000001,0.011540710550048466,6,0.004711475352795555
strain_yWT04a,790000.0,0.034975000000000006,0.012079010721081427,4,0.006039505360540713
strain_yWT04a,800000.0,0.0267,0.006050344342817742,4,0.003025172171408871
strain_yWT04a,810000.0,0.0199,0.0015427248620541521,4,0.0007713624310270761
strain_yWT04a,820000.0,0.017575,0.001408012784032872,4,0.000704006392016436
strain_yWT04a,830000.0,0.033375,0.011924868972026484,4,0.005962434486013242
strain_yWT04a,840000.0,0.017925,0.002709704780967846,4,0.001354852390483923
strain_yWT04a,850000.0,0.015550000000000001,0.002188606862823929,4,0.0010943034314119646
strain_yWT04a,860000.0,0.018375,0.007607616797219306,4,0.003803808398609653
strain_yWT04a,870000.0,0.018425,0.006539304244336701,4,0.0032696521221683506
strain_yWT04a,880000.0,0.020825,0.002064582282206257,4,0.0010322911411031286
strain_yWT04a,890000.0,0.019975,0.003493207694941713,4,0.0017466038474708565
strain_yWT04a,900000.0,0.032424999999999995,0.01600195300580526,4,0.00800097650290263
strain_yWT04a,910000.0,0.02305,0.0036828431046317103,4,0.0018414215523158551
strain_yWT04a,920000.0,0.05885,0.04303335915310354,4,0.02151667957655177
strain_yWT04a,930000.0,0.02235,0.003945039078809403,4,0.0019725195394047013
strain_yWT04a,940000.0,0.010124999999999999,0.011691414228683656,4,0.005845707114341828
strain_yWT04a,950000.0,0.0279,0.0032526911934581187,2,0.0023
strain_yWT04a,960000.0,0.025750000000000002,0.0004949747468305839,2,0.0003500000000000005
strain_yWT04a,970000.0,0.024550000000000002,0.0009192388155425099,2,0.0006499999999999987
strain_yWT04a,980000.0,0.0304,0.0029698484809835015,2,0.002100000000000001
strain_yWT04a,990000.0,0.02275,0.003464823227814084,2,0.002450000000000001
strain_yWT04a,1000000.0,0.0293,0.002404163056034262,2,0.0017000000000000001
strain_yWT04a,1010000.0,0.019700000000000002,0.004384062043356594,2,0.0030999999999999995
strain_yWT04a,1020000.0,0.02645,0.004171930009000628,2,0.0029499999999999986
strain_yWT04a,1030000.0,0.0226,0.00565685424949238,2,0.004
strain_yWT04a,1040000.0,0.026250000000000002,0.002333452377915606,2,0.0016499999999999996
strain_yWT04a,1050000.0,0.02635,0.006717514421272201,2,0.00475
strain_yWT04a,1060000.0,0.02545,0.006717514421272203,2,0.004750000000000001
strain_yWT04a,1070000.0,0.02085,0.0040305086527633194,2,0.0028499999999999992
strain_yWT04a,1080000.0,0.06785,0.01166726188957804,2,0.008250000000000004
strain_yWT04a,1090000.0,0.0,0.0,2,0.0
strain_yWT04a,1100000.0,0.0,0.0,2,0.0
